player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits,p_middle_hits,expected_value,note,market_mean,historical_std,historical_games
Malik Nabers,rushing-and-receiving-yards,nyg,bet365,60.5,-115,underdog,65.5,-137.0,5.0,2,48.06,51.94,-10.15,79.7,0.0468,-5.95,,63.0,42.61,18.0
Puka Nacua,receiving-yards,,bet365,86.5,-110,underdog,91.5,-137.0,5.0,9,47.54,52.46,-9.25,81.51,0.0398,-5.64,,90.17,50.05,42.0
Saquon Barkley,rushing-and-receiving-yards,phi,riverscasino,94.5,-113,draftkings,99.5,-111.0,5.0,9,50.21,49.79,-5.36,89.29,0.0388,-1.69,,97.5,51.42,102.0
Ryan Flournoy,receiving-yards,dal,prizepicks,20.5,-137,fanatics,25.5,-125.0,5.0,5,50.99,49.01,-11.79,76.43,0.0635,-6.19,,22.1,31.36,25.0
Rhamondre Stevenson,rushing-yards,nwe,riverscasino,40.5,-114,fanatics,45.5,-125.0,5.0,9,48.95,51.05,-8.11,83.78,0.0588,-2.7,,43.39,33.87,65.0
Terry McLaurin,receiving-yards,was,draftkings,47.5,-115,underdog,52.5,-137.0,5.0,9,48.06,51.94,-10.15,79.7,0.0586,-4.88,,51.06,33.99,99.0
Travis Kelce,receiving-yards,kan,bet365,36.5,-110,draftkings,41.5,-114.0,5.0,9,49.58,50.42,-5.35,89.3,0.0546,-0.18,,40.72,36.45,185.0
Travis Etienne,receiving-yards,nor,fanatics,15.5,-125,bet365,20.5,-110.0,5.0,5,51.47,48.53,-7.35,85.29,0.1209,3.85,,19.3,16.39,61.0
Tucker Kraft,receiving-yards,gnb,bet365,41.5,-110,riverscasino,46.5,-113.0,5.0,9,49.68,50.32,-5.15,89.69,0.0592,0.46,,45.06,33.65,40.0
Tyler Shough,passing-yards,nor,bet365,241.5,-110,draftkings,246.5,-111.0,5.0,8,49.89,50.11,-4.75,90.5,0.0197,-2.87,,244.38,101.09,10.0
