player_name,category,team,book,line,consensus_mean,other_books_count,diff,diff_pct,direction
Christian Watson,receptions,gnb,caesars,3.5,3.9,5,-0.4,-10.26,Lower than consensus
Christian Watson,receptions,gnb,fanduel,3.5,3.9,5,-0.4,-10.26,Lower than consensus
Breece Hall,receiving-yards,nyj,riverscasino,19.5,17.7,5,1.8,10.17,Higher than consensus
Chris Rodriguez,rushing-yards,jax,fanatics,30.5,33.9,5,-3.4,-10.03,Lower than consensus
Kyler Murray,rush-attempts,min,sleeper,5.5,5.0,2,0.5,10.0,Higher than consensus
Kyler Murray,rush-attempts,min,draftkings,5.5,5.0,2,0.5,10.0,Higher than consensus
Samaje Perine,rush-attempts,cin,sleeper,4.5,5.0,2,-0.5,-10.0,Lower than consensus
Samaje Perine,rush-attempts,cin,hardrock,4.5,5.0,2,-0.5,-10.0,Lower than consensus
Tyjae Spears,rush-attempts,ten,hardrock,5.5,5.0,2,0.5,10.0,Higher than consensus
Tyjae Spears,rush-attempts,ten,fanatics,5.5,5.0,2,0.5,10.0,Higher than consensus
