year,week,team_1,team_2,date,time,location,boxscore_url
2015,17,Cincinnati Bengals,Baltimore Ravens,2016-01-03,1:02PM,Cincinnati,/boxscores/201601030cin.htm
2015,17,Pittsburgh Steelers,Cleveland Browns,2016-01-03,1:02PM,Cleveland,/boxscores/201601030cle.htm
2015,17,Indianapolis Colts,Tennessee Titans,2016-01-03,1:02PM,Indianapolis,/boxscores/201601030clt.htm
2015,17,Houston Texans,Jacksonville Jaguars,2016-01-03,1:02PM,Houston,/boxscores/201601030htx.htm
2015,17,Miami Dolphins,New England Patriots,2016-01-03,1:02PM,Miami,/boxscores/201601030mia.htm
2015,17,Washington Redskins,Dallas Cowboys,2016-01-03,1:03PM,Dallas,/boxscores/201601030dal.htm
2015,17,Philadelphia Eagles,New York Giants,2016-01-03,1:03PM,New York,/boxscores/201601030nyg.htm
2015,17,Carolina Panthers,Tampa Bay Buccaneers,2016-01-03,4:25PM,Carolina,/boxscores/201601030car.htm
2015,17,Seattle Seahawks,Arizona Cardinals,2016-01-03,4:25PM,Arizona,/boxscores/201601030crd.htm
2015,17,Denver Broncos,San Diego Chargers,2016-01-03,4:25PM,Denver,/boxscores/201601030den.htm
2015,17,San Francisco 49ers,St. Louis Rams,2016-01-03,4:25PM,San Francisco,/boxscores/201601030sfo.htm
2015,17,Kansas City Chiefs,Oakland Raiders,2016-01-03,4:26PM,Kansas City,/boxscores/201601030kan.htm
2015,17,Minnesota Vikings,Green Bay Packers,2016-01-03,8:30PM,Green Bay,/boxscores/201601030gnb.htm
