first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Ian,Thomas,TE,,14,12/7/25,Thu-Mon,LV,DEN,7.5,40.5,16.5,2500,13,3.1,2.4,3.5,2.5,0.98,,,Ian Thomas
Konata,Mumpfield,WR,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,3000,15,3.4,3.4,3.4,2.4,0.79,,,Konata Mumpfield
Ray,Davis,RB,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,4100,32,3.7,2.3,2.5,2.4,0.58,,,Ray Davis
Adam,Trautman,TE,,14,12/7/25,Thu-Mon,DEN,LV,-7.5,40.5,24,2500,3,3,2.9,3.8,2.4,0.96,,,Adam Trautman
Devontez,Walker,WR,,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,3000,31,5,3.4,6.3,2.3,0.78,,,Devontez Walker
Malik,Davis,RB,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,4000,1,3.1,1.6,3.1,2.3,0.58,,,Malik Davis
Olamide,Zaccheaus,WR,,14,12/7/25,Thu-Mon,CHI,GB,6.5,44.5,19,3000,10,7,6.3,6.4,2.3,0.77,,,Olamide Zaccheaus
Rasheen,Ali,RB,,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,4000,11,0.9,0.9,1.6,2.2,0.56,,,Rasheen Ali
John,FitzPatrick,TE,,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,2500,21,1.3,1.7,2.4,2.2,0.89,,,John FitzPatrick
Jaylin,Lane,WR,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,3300,2,4.5,4.2,4,2.2,0.68,,,Jaylin Lane
Jordan,Whittington,WR,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,3000,15,3,3.2,3.2,2.1,0.7,,,Jordan Whittington
Jeremy,Ruckert,TE,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,2500,29,2.8,3.7,3.9,2.1,0.85,,,Jeremy Ruckert
Foster,Moreau,TE,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,2500,15,1.8,5.5,1.8,2.1,0.83,,,Foster Moreau
Evan,Hull,RB,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,4000,24,1.1,1.1,1.5,2.1,0.51,,,Evan Hull
Ameer,Abdullah,RB,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,4000,4,1.8,7.8,2.6,2,0.49,,,Ameer Abdullah
Josh,Oliver,TE,,14,12/7/25,Thu-Mon,MIN,WAS,-1.5,42.5,22,2500,25,3.1,3,3.6,2,0.78,,,Josh Oliver
John,Bates,TE,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,2500,18,2.4,2.1,2.4,2,0.8,,,John Bates
Allen,Lazard,WR,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,3000,7,2.1,4.3,3.1,2,0.67,,,Allen Lazard
Nick,Westbrook-Ikhine,WR,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,3000,11,2.7,3.6,2.5,2,0.66,,,Nick Westbrook-Ikhine
Drew,Sample,TE,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,2500,1,3.1,2.6,2.4,1.9,0.76,,,Drew Sample
Raheem,Mostert,RB,,14,12/7/25,Thu-Mon,LV,DEN,7.5,40.5,16.5,4100,3,2.8,2.5,2.8,1.9,0.46,,,Raheem Mostert
Luke,Schoonmaker,TE,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,2500,9,2,1.5,1.5,1.8,0.71,,,Luke Schoonmaker
James,Proche II,WR,,14,12/7/25,Thu-Mon,TEN,CLE,4.5,33.5,14.5,3000,4,1.9,1.4,4.8,1.6,0.52,,,James Proche II
Gage,Larvadain,WR,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,3000,23,1.6,1.6,1.6,1.6,0.53,,,Gage Larvadain
Johnny,Mundt,TE,,14,12/7/25,Thu-Mon,JAX,IND,1.5,46.5,22.5,2500,28,2.8,2.2,1.9,1.6,0.65,,,Johnny Mundt
Julian,Hill,TE,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,2500,22,3.2,2,2.9,1.5,0.62,,,Julian Hill
Jaylen,Wright,RB,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,4000,27,1.4,1.3,1.9,1.5,0.37,,,Jaylen Wright
