first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Tim,Patrick,WR,,18,2026-01-04,Sat-Sun,JAX,TEN,-12.5,47.5,30.0,3100,22,6.8,5.0,4.6,1.5,0.49,,Tim Patrick
Jalen,Royals,WR,,18,2026-01-04,Sat-Sun,KC,LV,-5.5,36.5,21.0,3100,24,,,,1.5,0.48,,Jalen Royals
Tahj,Brooks,RB,,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,4000,15,0.7,0.7,0.7,1.4,0.35,,Tahj Brooks
Amar,Johnson,RB,,18,2026-01-04,Sat-Sun,LAC,DEN,12.5,37.5,12.5,4000,1,0.8,0.8,0.8,1.4,0.35,,Amar Johnson
Ollie,Gordon II,RB,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,4000,6,3.8,3.8,3.5,1.4,0.34,,Ollie Gordon II
Luke,Farrell,TE,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,2500,28,3.0,3.2,3.4,1.3,0.52,,Luke Farrell
Colson,Yankoff,TE,,18,2026-01-04,Sat-Sun,WAS,PHI,4.5,38.5,17.0,2500,2,0.8,0.4,1.3,1.2,0.47,,Colson Yankoff
Alec,Ingold,RB,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,4000,6,1.7,1.7,1.6,1.1,0.27,,Alec Ingold
Adam,Prentice,RB,,18,2026-01-04,Sat-Sun,DEN,LAC,-12.5,37.5,25.0,4000,7,2.5,1.4,1.4,1.0,0.24,,Adam Prentice
Michael,Bandy,WR,,18,2026-01-04,Sat-Sun,DEN,LAC,-12.5,37.5,25.0,3000,6,2.1,2.1,5.3,1.0,0.33,,Michael Bandy
Johnny,Mundt,TE,,18,2026-01-04,Sat-Sun,JAX,TEN,-12.5,47.5,30.0,2500,16,2.8,2.2,1.9,1.0,0.4,,Johnny Mundt
Jared,Wiley,TE,,18,2026-01-04,Sat-Sun,KC,LV,-5.5,36.5,21.0,2500,4,0.3,0.4,1.4,1.0,0.39,,Jared Wiley
Tai,Felton,WR,,18,2026-01-04,Sat-Sun,MIN,GB,-7.5,35.5,21.5,3000,18,1.8,1.8,1.8,1.0,0.32,,Tai Felton
Andrew,Beck,RB,,18,2026-01-04,Sat-Sun,NYJ,BUF,7.5,37.5,15.0,4000,29,1.7,1.6,2.6,0.9,0.21,,Andrew Beck
Arian,Smith,WR,,18,2026-01-04,Sat-Sun,NYJ,BUF,7.5,37.5,15.0,3000,8,1.1,1.2,1.2,0.9,0.29,,Arian Smith
Scott,Matlock,RB,,18,2026-01-04,Sat-Sun,LAC,DEN,12.5,37.5,12.5,4000,1,2.2,1.9,3.7,0.9,0.22,,Scott Matlock
Dylan,Laube,RB,,18,2026-01-04,Sat-Sun,LV,KC,5.5,36.5,15.5,4000,8,1.1,0.6,1.4,0.9,0.22,,Dylan Laube
Brevyn,Spann-Ford,TE,,18,2026-01-04,Sat-Sun,DAL,NYG,-3.5,51.5,27.5,2600,6,2.5,1.5,1.9,0.9,0.36,,Brevyn Spann-Ford
A.J.,Dillon,RB,,18,2026-01-04,Sat-Sun,PHI,WAS,-4.5,38.5,21.5,4000,28,1.8,4.9,1.8,0.9,0.23,,A.J. Dillon
Eric,Saubert,TE,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,2500,21,3.4,2.0,2.1,0.9,0.38,,Eric Saubert
