PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Jaheim Bell,TE,NE,TEN,147,38.00,3.50,17.25,2500,0.61,0.2,0.0,0.0,0.4,0.4,0.2
Curtis Samuel,WR,BUF,MIA,-275,49.50,-6.00,27.75,3800,0.90,0.2,0.0,0.1,0.4,0.5,0.1
Clyde Edwards-Helaire,RB,KC,TB,-448,45.50,-8.50,27.00,5000,1.15,0.2,0.0,0.8,0.4,1.2,0.2
Anthony Gould,WR,IND,MIN,194,46.50,5.50,20.50,3000,0.47,0.2,0.0,0.0,0.3,0.3,0.1
Jha'Quan Jackson,WR,TEN,NE,-179,38.00,-3.50,20.75,3000,0.52,0.2,0.0,0.0,0.4,0.4,0.1
Allen Robinson,WR,DET,GB,-175,48.00,-3.50,25.75,3300,0.33,0.1,0.0,0.0,0.2,0.2,0.1
Dallin Holker,TE,NO,CAR,-368,43.50,-7.50,25.50,2500,0.18,0.1,0.0,0.0,0.1,0.1,0.0
Tanner McLachlan,TE,CIN,LV,-351,46.50,-7.50,27.00,2500,0.18,0.1,0.0,0.0,0.1,0.1,0.0
Greg Dulcich,TE,DEN,BAL,350,45.50,9.00,18.25,2500,0.14,0.1,0.0,0.0,0.1,0.1,0.0
Ryan Flournoy,WR,DAL,ATL,121,52.00,2.50,24.75,3000,0.34,0.1,0.0,0.0,0.2,0.2,0.1
Casey Washington,WR,ATL,DAL,-145,52.00,-2.50,27.25,3000,0.36,0.1,0.0,0.0,0.2,0.2,0.1
Brenden Rice,WR,LAC,CLE,-124,42.50,-1.50,22.00,3000,0.17,0.1,0.0,0.0,0.1,0.1,0.0
Travis Homer,RB,CHI,ARI,100,44.50,1.00,21.75,4000,0.45,0.1,0.0,0.4,0.2,0.6,0.2
Hunter Long,TE,LAR,SEA,-123,48.50,-1.50,25.00,2500,0.36,0.1,0.0,0.0,0.3,0.3,0.1
Devin Culp,TE,TB,KC,343,45.50,8.50,18.50,2500,0.32,0.1,0.0,0.0,0.2,0.2,0.1
JaMycal Hasty,RB,NE,TEN,147,38.00,3.50,17.25,4000,0.46,0.1,0.0,0.4,0.2,0.6,0.2
Tip Reiman,TE,ARI,CHI,-115,44.50,-1.00,22.75,2500,0.33,0.1,0.0,0.0,0.2,0.2,0.1
Raheem Blackshear,RB,CAR,NO,287,43.50,7.50,18.00,4000,0.48,0.1,0.0,0.3,0.3,0.6,0.2
Malik Washington,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.31,0.1,0.0,0.0,0.2,0.2,0.1
Jermaine Burton,WR,CIN,LV,-351,46.50,-7.50,27.00,3100,0.36,0.1,0.0,0.0,0.2,0.2,0.1
Will Shipley,RB,PHI,JAX,-352,45.50,-7.50,26.50,4000,0.58,0.1,0.0,0.3,0.2,0.5,0.1
Rasheen Ali,RB,BAL,DEN,-451,45.50,-9.00,27.25,4000,0.53,0.1,0.0,0.4,0.2,0.6,0.2
Ihmir Smith-Marsette,WR,NYG,WAS,156,44.00,3.50,20.25,3000,0.31,0.1,0.0,0.0,0.2,0.2,0.1
Devontez Walker,WR,BAL,DEN,-451,45.50,-9.00,27.25,3000,0.36,0.1,0.0,0.0,0.2,0.2,0.1
Kenny McIntosh,RB,SEA,LAR,103,48.50,1.50,23.50,4000,0.32,0.1,0.0,0.2,0.2,0.4,0.1
Isaiah Davis,RB,NYJ,HOU,-125,42.00,-1.50,21.75,4000,0.47,0.1,0.0,0.3,0.2,0.5,0.1
Malachi Corley,WR,NYJ,HOU,-125,42.00,-1.50,21.75,3000,0.18,0.1,0.0,0.0,0.1,0.1,0.0
Deuce Vaughn,RB,DAL,ATL,121,52.00,2.50,24.75,4000,0.43,0.1,0.0,0.2,0.2,0.4,0.1
Julius Chestnut,RB,TEN,NE,-179,38.00,-3.50,20.75,4000,0.24,0.1,0.0,0.3,0.1,0.4,0.1
Hassan Haskins,RB,LAC,CLE,-124,42.50,-1.50,22.00,4000,0.44,0.1,0.0,0.6,0.2,0.8,0.2
Dylan Laube,RB,LV,CIN,271,46.50,7.50,19.50,4000,0.56,0.1,0.0,0.3,0.3,0.6,0.2
Sam Howell,QB,SEA,LAR,103,48.50,1.50,23.50,5300,0.00,0.0,0.0,0.0,0.0,0.0,0.0
David Martin-Robinson,TE,TEN,NE,-179,38.00,-3.50,20.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Keene,TE,HOU,NYJ,105,42.00,1.50,20.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Joe Milton,QB,NE,TEN,147,38.00,3.50,17.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Weaver,WR,ARI,CHI,-115,44.50,-1.00,22.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
JaQuae Jackson,WR,NE,TEN,147,38.00,3.50,17.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Michael Burton,RB,DEN,BAL,350,45.50,9.00,18.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
British Brooks,RB,HOU,NYJ,105,42.00,1.50,20.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Carlson,TE,CHI,ARI,100,44.50,1.00,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Rashee Rice,WR,KC,TB,-448,45.50,-8.50,27.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Ford-Wheaton,WR,NYG,WAS,156,44.00,3.50,20.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Trey Lance,QB,DAL,ATL,121,52.00,2.50,24.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Murtagh,TE,JAX,PHI,277,45.50,7.50,19.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Andrew DePaola,TE,MIN,IND,-240,46.50,-5.50,26.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
John Stephens,TE,DAL,ATL,121,52.00,2.50,24.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Chris Evans,RB,CIN,LV,-351,46.50,-7.50,27.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
